id,company_id,title,description,location_city,country,contract_type,created_at,is_active,hired_consultant_id,latitude,longitude
25,25,Construction Materials Quality Advisor,"You design testing procedures, follow up on lab results and track quality indicators on-site. The role focuses on ensuring that materials meet performance standards and helping teams solve issues when specifications are not met.",Rotterdam,Netherlands,Part-time,2025-12-07 11:37:00.106615+00,true,,51.92079,4.487597
26,26,Workflow Improvement Consultant,"You assess internal workflows, map inefficiencies and define improvement plans. This includes interviewing teams, analysing process data and supporting the rollout of new routines that reduce delays and improve delivery times.",Paris,France,Full-time,2025-12-07 11:39:32.328143+00,false,79,48.853495,2.348392
29,26,Change Management Specialist,"You guide organisations through technical or structural changes by planning communication, supporting training efforts and helping managers prepare their teams. The role requires a practical approach to reducing resistance and ensuring smooth adoption.",Marseilles,France,Project-based,2025-12-07 11:43:43.234225+00,true,,43.294235,5.377085
30,15,HR Expert,"We are seeking an experienced HR Expert to lead and support key human resources initiatives, including talent acquisition, employee relations, performance management, HR compliance, and organizational development. The ideal candidate has a strong understanding of HR best practices, exceptional interpersonal skills, and the ability to drive a positive and productive workplace culture.",Antwerp,Belgium,Part-time,2025-12-07 12:32:29.684211+00,true,,51.22111,4.399708
31,27,Accounting consultant,"We are seeking an experienced Accounting Consultant to provide expert financial guidance, optimize accounting processes, and ensure accurate financial reporting. The ideal candidate will bring deep technical knowledge, strong analytical skills, and the ability to work independently while supporting strategic business decisions.
",Warsaw,Poland,Freelance,2025-12-07 12:42:42.469599+00,true,,52.23072,21.016317
32,28,Data Analyst,"Brabantec Solutions is looking for an experienced Data Analyst to analyze logistics data flows, build dashboards and provide optimization insights for our supply chain clients. You will collaborate closely with our technology and consulting teams to support data-driven decision-making.",Antwerp,Belgium,Freelance,2025-12-07 13:52:14.533565+00,true,,51.22111,4.399708
33,28,Python Automation ENgineer,"You will develop automation scripts and tools in Python to streamline internal business workflows. The role involves designing scalable solutions, maintaining documentation and collaborating with IT and operations teams.",Antwerp,Belgium,Project-based,2025-12-07 13:53:53.063761+00,false,1,51.22111,4.399708
34,28,Logistics Project Manager,"Brabantec Solutions is managing a major logistics transformation program and seeks a Project Manager with expertise in warehouse and transport optimization. You will oversee stakeholders, manage risks and ensure milestones are delivered.",Antwerp,Belgium,Full-time,2025-12-07 13:54:52.576872+00,true,,51.22111,4.399708
35,29,HR Business Partner,"Flandrex Consulting Services is supporting a client in the healthcare sector and is looking for an HR Business Partner to oversee talent processes, onboarding and change initiatives.",Ghent,Belgium,Full-time,2025-12-07 13:57:24.765513+00,false,81,51.053829,3.725012
36,29,Financial Reporting Analyst,"You will manage monthly and quarterly financial reporting, analyze performance results and advise management based on your insights. Accuracy and analytical strength are essential.",Ghent,Belgium,Full-time,2025-12-07 13:58:12.923718+00,true,,51.053829,3.725012
37,29,Learning & Development Consultant,"You will design and deliver training programs for employees across healthcare and service sectors, focusing on communication, team development and professional soft skills.",Ghent,Belgium,Freelance,2025-12-07 13:59:09.249958+00,false,1,51.053829,3.725012
38,30,Business Strategy Consultant,"Belvion Strategy & Advisory is seeking a Strategy Consultant to perform market analyses, evaluate business models and define growth strategies for clients in the technology sector.",Leuven,Belgium,Project-based,2025-12-07 14:02:18.881727+00,true,,50.879202,4.701168
39,30,IT Change Manager,"You will lead IT-related change initiatives, support teams through process transitions and manage communication between stakeholders. Experience in digital transformation is a strong plus.",Leuven,Belgium,Full-time,2025-12-07 14:03:10.89073+00,true,,50.879202,4.701168
40,30,Data Governance Consultant,"Belvion Strategy & Advisory is looking for a consultant to design data governance frameworks, improve data quality standards and support compliance requirements for financial sector clients.",Leuven,Belgium,Full-time,2025-12-07 14:05:11.06018+00,true,,50.879202,4.701168
41,27,Tax advisor,We are hiring a competent junior tax advisor who has a Master degree in Finance or related.,Munich,Germany,Project-based,2025-12-07 15:11:33.923219+00,false,66,48.136973,11.575968
42,11,Healthcare Consultant,"We are seeking an experienced Healthcare Consultant to join our network of professionals and support healthcare organizations in optimizing processes, improving patient outcomes, and delivering strategic solutions.
As a consultant, you will work closely with hospitals, clinics, and healthcare service providers to identify challenges, implement improvements, and guide transformation initiatives.",Ghent,Belgium,Full-time,2025-12-07 18:30:10.154863+00,false,5,51.053829,3.725012
43,32,Data Analyst Consultant,"We are looking for a Data Analyst Consultant to support our clients with data-driven insights, reporting and decision-making. You will collaborate with cross-functional teams to structure datasets, automate reporting workflows and translate business questions into clear analytics.",Tournai,Belgium,Part-time,2025-12-07 18:35:43.523112+00,true,,50.60566,3.387826
44,32,Cloud Solutions Consultant,"Description:
We are seeking a Cloud Solutions Consultant to support digital transformation projects for clients migrating to cloud-based environments. You will help design scalable architectures, improve cloud workflows and guide teams through implementation.

Responsibilities:
Architect cloud environments (AWS/Azure/GCP) based on client needs
Lead migration projects and infrastructure setup
Optimize performance, security and cost management
Create technical documentation and implementation guides
Collaborate with IT teams and provide technical expertise

Requirements:

Experience with cloud platforms (AWS, Azure or GCP)
Understanding of DevOps practices and CI/CD pipelines
Strong troubleshooting and solution design skills
Ability to communicate technical concepts to non-technical stakeholders
Consulting experience preferred",Tournai,Belgium,Freelance,2025-12-07 18:37:40.923825+00,true,,50.60566,3.387826
45,32,AI / Machine Learning Consultant,"We are searching for an AI & Machine Learning Consultant to work on high-impact technology projects. You will design models, evaluate performance, and assist companies in adopting intelligent automation and predictive analytics.

Responsibilities:

Build & train ML models for classification, forecasting or automation
Evaluate datasets, create pipelines and optimize algorithms
Present technical results and insights to clients
Support AI adoption strategy and integration into products
Write documentation and deliver technical project reports

Requirements:

Proficiency in Python (TensorFlow/PyTorch preferred)
Understanding of data engineering and model deployment
Research-minded problem solver with a practical approach
Ability to work on remote project teams
Prior consulting or freelance experience is an advantage",Ghent,Belgium,Freelance,2025-12-07 18:39:56.106893+00,true,,51.053829,3.725012
46,33,Business Intelligence Consultant,"Pulse & Co. is looking for a Business Intelligence Consultant to help clients transform raw data into valuable insights. You will work on BI dashboards, automate reporting flows, and support leadership with analytical decision-making.",Brussels,Belgium,Freelance,2025-12-07 18:43:13.022374+00,true,,50.8551,4.35121
47,33,Digital Transformation Consultant,"Pulse & Co. is seeking a Digital Transformation Consultant to drive strategic modernisation and workflow optimisation for enterprise clients. You’ll collaborate closely with teams to improve processes, implement tools, and guide digital adoption initiatives.",Paris,France,Freelance,2025-12-07 18:45:46.137762+00,true,,48.853495,2.348392
48,33,Data Governance Consultant,"Pulse & Co. is hiring a Data Governance Consultant to help organizations establish data policies, improve data quality and implement governance frameworks. Ideal for consultants who enjoy structure, documentation, compliance and data governance strategy.",Brussels,Belgium,Freelance,2025-12-07 18:48:23.423894+00,true,,50.8551,4.35121
49,34,Product analist,"As a product analist, you have to verify the quality of our products in every part of the supply chain. Important features are teamwork and punctuality.",Brussels,Belgium,Full-time,2025-12-11 14:07:06.693812+00,true,,50.8551,4.35121
52,2,SQL- coderen,sql CODEREN voor expert.,Bruges,Belgium,Freelance,2025-12-11 15:50:17.882942+00,true,,51.208553,3.226772
58,40,Python programmer,Experienced,New York,United States,Full-time,2025-12-12 12:41:55.312198+00,true,,40.712749,-74.005994
